,price,plotsize,bedrooms,bathrms,stories,driveway
1,42000,5850,3,1,2,yes
2,38500,4000,2,1,1,yes
3,49500,3060,3,1,1,yes
4,60500,6650,3,1,2,yes
5,61000,6360,2,1,1,yes
6,66000,4160,3,1,1,yes
7,66000,3880,3,2,2,yes
8,69000,4160,3,1,3,yes
9,83800,4800,3,1,1,yes
10,88500,5500,3,2,4,yes
11,90000,7200,3,2,1,yes
12,30500,3000,2,1,1,no
13,27000,1700,3,1,2,yes
14,36000,2880,3,1,1,no
15,37000,3600,2,1,1,yes
16,37900,3185,2,1,1,yes
17,40500,3300,3,1,2,no
18,40750,5200,4,1,3,yes
19,45000,3450,1,1,1,yes
20,45000,3986,2,2,1,no
21,48500,4785,3,1,2,yes
22,65900,4510,4,2,2,yes
23,37900,4000,3,1,2,yes
24,38000,3934,2,1,1,yes
25,42000,4960,2,1,1,yes
26,42300,3000,2,1,2,yes
27,43500,3800,2,1,1,yes
28,44000,4960,2,1,1,yes
29,44500,3000,3,1,1,no
30,44900,4500,3,1,2,yes
31,45000,3500,2,1,1,no
32,48000,3500,4,1,2,yes
33,49000,4000,2,1,1,yes
34,51500,4500,2,1,1,yes
35,61000,6360,2,1,2,yes
36,61000,4500,2,1,1,yes
37,61700,4032,2,1,1,yes
38,67000,5170,3,1,4,yes
39,82000,5400,4,2,2,yes
40,54500,3150,2,2,1,no
41,66500,3745,3,1,2,yes
42,70000,4520,3,1,2,yes
43,82000,4640,4,1,2,yes
44,92000,8580,5,3,2,yes
45,38000,2000,2,1,2,yes
46,44000,2160,3,1,2,no
47,41000,3040,2,1,1,no
48,43000,3090,3,1,2,no
49,48000,4960,4,1,3,no
50,54800,3350,3,1,2,yes
51,55000,5300,5,2,2,yes
52,57000,4100,4,1,1,no
53,68000,9166,2,1,1,yes
54,95000,4040,3,1,2,yes
55,38000,3630,3,3,2,no
56,25000,3620,2,1,1,yes
57,25245,2400,3,1,1,no
58,56000,7260,3,2,1,yes
59,35500,4400,3,1,2,yes
60,30000,2400,3,1,2,yes
61,48000,4120,2,1,2,yes
62,48000,4750,2,1,1,yes
63,52000,4280,2,1,1,yes
64,54000,4820,3,1,2,yes
65,56000,5500,4,1,2,yes
66,60000,5500,3,1,2,yes
67,60000,5040,3,1,2,yes
68,67000,6000,2,1,1,yes
69,47000,2500,2,1,1,no
70,70000,4095,3,1,2,no
71,45000,4095,2,1,1,yes
72,51000,3150,3,1,2,yes
73,32500,1836,2,1,1,no
74,34000,2475,3,1,2,yes
75,35000,3210,3,1,2,yes
76,36000,3180,3,1,1,no
77,45000,1650,3,1,2,no
78,47000,3180,4,1,2,yes
79,55000,3180,2,2,1,yes
80,63900,6360,2,1,1,yes
81,50000,4240,3,1,2,yes
82,35000,3240,2,1,1,no
83,50000,3650,3,1,2,yes
84,43000,3240,3,1,2,yes
85,55500,3780,2,1,2,yes
86,57000,6480,3,1,2,no
87,60000,5850,2,1,1,yes
88,78000,3150,3,2,1,yes
89,35000,3000,2,1,1,yes
90,44000,3090,2,1,1,yes
91,47000,6060,3,1,1,yes
92,58000,5900,4,2,2,no
93,163000,7420,4,1,2,yes
94,128000,8500,3,2,4,yes
95,123500,8050,3,1,1,yes
96,39000,6800,2,1,1,yes
97,53900,8250,3,1,1,yes
98,59900,8250,3,1,1,yes
99,35000,3500,2,1,1,yes
100,43000,2835,2,1,1,yes
101,57000,4500,3,2,2,no
102,79000,3300,3,3,2,yes
103,125000,4320,3,1,2,yes
104,132000,3500,4,2,2,yes
105,58000,4992,3,2,2,yes
106,43000,4600,2,1,1,yes
107,48000,3720,2,1,1,no
108,58500,3680,3,2,2,yes
109,73000,3000,3,2,2,yes
110,63500,3750,2,1,1,yes
111,43000,5076,3,1,1,no
112,46500,4500,2,1,1,no
113,92000,5000,3,1,2,yes
114,75000,4260,4,1,2,yes
115,75000,6540,4,2,2,no
116,85000,3700,4,1,2,yes
117,93000,3760,3,1,2,yes
118,94500,4000,3,2,2,yes
119,106500,4300,3,2,2,yes
120,116000,6840,5,1,2,yes
121,61500,4400,2,1,1,yes
122,80000,10500,4,2,2,yes
123,37000,4400,2,1,1,yes
124,59500,4840,3,1,2,yes
125,70000,4120,2,1,1,yes
126,95000,4260,4,2,2,yes
127,117000,5960,3,3,2,yes
128,122500,8800,3,2,2,yes
129,123500,4560,3,2,2,yes
130,127000,4600,3,2,2,yes
131,35000,4840,2,1,2,yes
132,44500,3850,3,1,2,yes
133,49900,4900,3,1,2,no
134,50500,3850,3,1,1,yes
135,65000,3760,3,1,1,yes
136,90000,6000,4,2,4,yes
137,46000,4370,3,1,2,yes
138,35000,7700,2,1,1,yes
139,26500,2990,2,1,1,no
140,43000,3750,3,1,2,yes
141,56000,3000,3,1,2,yes
142,40000,2650,3,1,2,yes
143,51000,4500,4,2,2,yes
144,51000,4500,2,1,1,no
145,57250,4500,3,1,2,no
146,44000,4500,2,1,2,yes
147,61000,2175,3,1,2,no
148,62000,4500,3,2,3,yes
149,80000,4800,5,2,3,no
150,50000,4600,4,1,2,yes
151,59900,3450,3,1,2,yes
152,35500,3000,3,1,2,no
153,37000,3600,2,2,2,yes
154,42000,3600,3,1,2,no
155,48000,3750,3,1,1,yes
156,60000,2610,4,3,2,no
157,60000,2953,3,1,2,yes
158,60000,2747,4,2,2,no
159,62000,1905,5,1,2,no
160,63000,3968,3,1,2,no
161,63900,3162,3,1,2,yes
162,130000,6000,4,1,2,yes
163,25000,2910,3,1,1,no
164,50000,2135,3,2,2,no
165,52900,3120,3,1,2,no
166,62000,4075,3,1,1,yes
167,73500,3410,3,1,2,no
168,38000,2800,3,1,1,yes
169,46000,2684,2,1,1,yes
170,48000,3100,3,1,2,no
171,52500,3630,2,1,1,yes
172,32000,1950,3,1,1,no
173,38000,2430,3,1,1,no
174,46000,4320,3,1,1,no
175,50000,3036,3,1,2,yes
176,57500,3630,3,2,2,yes
177,70000,5400,4,1,2,yes
178,69900,3420,4,2,2,yes
179,74500,3180,3,2,2,yes
180,42000,3660,4,1,2,no
181,60000,4410,2,1,1,no
182,50000,3990,3,1,2,yes
183,58000,4340,3,1,1,yes
184,63900,3510,3,1,2,yes
185,28000,3420,5,1,2,no
186,54000,3420,2,1,2,yes
187,44700,5495,3,1,1,yes
188,47000,3480,4,1,2,no
189,50000,7424,3,1,1,no
190,57250,3460,4,1,2,yes
191,67000,3630,3,1,2,yes
192,52500,3630,2,1,1,yes
193,42000,3480,3,1,2,no
194,57500,3460,3,2,1,yes
195,33000,3180,2,1,1,yes
196,34400,3635,2,1,1,no
197,40000,3960,3,1,1,yes
198,40500,4350,3,1,2,no
199,46500,3930,2,1,1,no
200,52000,3570,3,1,2,yes
201,53000,3600,3,1,1,yes
202,53900,2520,5,2,1,no
203,50000,3480,3,1,1,no
204,55500,3180,4,2,2,yes
205,56000,3290,2,1,1,yes
206,60000,4000,4,2,2,no
207,60000,2325,3,1,2,no
208,69500,4350,2,1,1,yes
209,72000,3540,2,1,1,no
210,92500,3960,3,1,1,yes
211,40500,2640,2,1,1,no
212,42000,2700,2,1,1,no
213,47900,2700,3,1,1,no
214,52000,3180,3,1,2,no
215,62000,3500,4,1,2,yes
216,41000,3630,2,1,1,yes
217,138300,6000,4,3,2,yes
218,42000,3150,3,1,2,no
219,47000,3792,4,1,2,yes
220,64500,3510,3,1,3,yes
221,46000,3120,3,1,2,no
222,58000,3000,4,1,3,yes
223,70100,4200,3,1,2,yes
224,78500,2817,4,2,2,no
225,87250,3240,4,1,3,yes
226,70800,2800,3,2,2,no
227,56000,3816,2,1,1,yes
228,48000,3185,2,1,1,yes
229,68000,6321,3,1,2,yes
230,79000,3650,3,2,2,yes
231,80000,4700,4,1,2,yes
232,87000,6615,4,2,2,yes
233,25000,3850,3,1,2,yes
234,32500,3970,1,1,1,no
235,36000,3000,2,1,2,yes
236,42500,4352,4,1,2,no
237,43000,3630,4,1,2,yes
238,50000,3600,6,1,2,yes
239,26000,3000,2,1,1,yes
240,30000,3000,4,1,2,yes
241,34000,2787,4,2,2,yes
242,52000,3000,2,1,2,yes
243,70000,4770,3,1,1,yes
244,27000,3649,2,1,1,yes
245,32500,3970,3,1,2,yes
246,37200,2910,2,1,1,no
247,38000,3480,2,1,1,yes
248,42000,6615,3,1,2,yes
249,44500,3500,2,1,1,yes
250,45000,3450,3,1,2,yes
251,48500,3450,3,1,1,yes
252,52000,3520,2,2,1,yes
253,53900,6930,4,1,2,no
254,60000,4600,3,2,2,yes
255,61000,4360,4,1,2,yes
256,64500,3450,3,1,2,yes
257,71000,4410,4,3,2,yes
258,75500,4600,2,2,1,yes
259,33500,3640,2,1,1,yes
260,41000,6000,2,1,1,yes
261,41000,5400,4,1,2,yes
262,46200,3640,4,1,2,yes
263,48500,3640,2,1,1,yes
264,48900,4040,2,1,1,yes
265,50000,3640,2,1,1,yes
266,51000,3640,2,1,1,yes
267,52500,5640,2,1,1,no
268,52500,3600,2,1,1,yes
269,54000,3600,2,1,1,yes
270,59000,4632,4,1,2,yes
271,60000,3640,3,2,2,yes
272,63000,4900,2,1,2,yes
273,64000,4510,4,1,2,yes
274,64900,4100,2,2,1,yes
275,65000,3640,3,1,2,yes
276,66000,5680,3,1,2,yes
277,70000,6300,3,1,1,yes
278,65500,4000,3,1,2,yes
279,57000,3960,3,1,2,yes
280,52000,5960,3,1,2,yes
281,54000,5830,2,1,1,yes
282,74500,4500,4,2,1,no
283,90000,4100,3,2,3,yes
284,45000,6750,2,1,1,yes
285,45000,9000,3,1,2,yes
286,65000,2550,3,1,2,yes
287,55000,7152,3,1,2,yes
288,62000,6450,4,1,2,yes
289,30000,3360,2,1,1,yes
290,34000,3264,2,1,1,yes
291,38000,4000,3,1,1,yes
292,39000,4000,3,1,2,yes
293,45000,3069,2,1,1,yes
294,47000,4040,2,1,1,yes
295,47500,4040,2,1,1,yes
296,49000,3185,2,1,1,yes
297,50000,5900,2,1,1,yes
298,50000,3120,3,1,2,yes
299,52900,5450,2,1,1,yes
300,53000,4040,2,1,1,yes
301,55000,4080,2,1,1,yes
302,56000,8080,3,1,1,yes
303,58500,4040,2,1,2,yes
304,59500,4080,3,1,2,yes
305,60000,5800,3,1,1,yes
306,64000,5885,2,1,1,yes
307,67000,9667,4,2,2,yes
308,68100,3420,4,2,2,yes
309,70000,5800,2,1,1,yes
310,72000,7600,4,1,2,yes
311,57500,5400,3,1,1,yes
312,69900,4995,4,2,1,yes
313,70000,3000,3,1,2,yes
314,75000,5500,3,2,1,yes
315,76900,6450,3,2,1,yes
316,78000,6210,4,1,4,yes
317,80000,5000,3,1,4,yes
318,82000,5000,3,1,3,yes
319,83000,5828,4,1,4,yes
320,83000,5200,3,1,3,yes
321,83900,5500,3,1,3,yes
322,88500,6350,3,2,3,yes
323,93000,8250,3,2,3,yes
324,98000,6000,3,1,1,yes
325,98500,7700,3,2,1,yes
326,99000,8880,3,2,2,yes
327,101000,8880,2,1,1,yes
328,110000,6480,3,2,4,yes
329,115442,7000,3,2,4,yes
330,120000,8875,3,1,1,yes
331,124000,7155,3,2,1,yes
332,175000,8960,4,4,4,yes
333,50000,7350,2,1,1,yes
334,55000,3850,2,1,1,yes
335,60000,7000,3,1,1,yes
336,61000,7770,2,1,1,yes
337,106000,7440,3,2,1,yes
338,155000,7500,3,3,1,yes
339,141000,8100,4,1,2,yes
340,62500,3900,3,1,2,yes
341,70000,2970,3,1,3,yes
342,73000,3000,3,1,2,yes
343,80000,10500,2,1,1,yes
344,80000,5500,3,2,2,yes
345,88000,4500,3,1,4,yes
346,49000,3850,3,1,1,yes
347,52000,4130,3,2,2,yes
348,59500,4046,3,1,2,yes
349,60000,4079,3,1,3,yes
350,64000,4000,3,1,2,yes
351,64500,9860,3,1,1,yes
352,68500,7000,3,1,2,yes
353,78500,7980,3,1,1,yes
354,86000,6800,2,1,1,yes
355,86900,4300,6,2,2,yes
356,75000,10269,3,1,1,yes
357,78000,6100,3,1,3,yes
358,95000,6420,3,2,3,yes
359,97000,12090,4,2,2,yes
360,107000,6600,3,1,4,yes
361,130000,6600,4,2,2,yes
362,145000,8580,4,3,4,yes
363,175000,9960,3,2,2,yes
364,72000,10700,3,1,2,yes
365,84900,15600,3,1,1,yes
366,99000,13200,2,1,1,yes
367,114000,9000,4,2,4,yes
368,120000,7950,5,2,2,yes
369,145000,16200,5,3,2,yes
370,79000,6100,3,2,1,yes
371,82000,6360,3,1,1,yes
372,85000,6420,3,1,1,yes
373,100500,6360,4,2,3,yes
374,122000,6540,4,2,2,yes
375,126500,6420,3,2,2,yes
376,133000,6550,4,2,2,yes
377,140000,5750,3,2,4,yes
378,190000,7420,4,2,3,yes
379,84000,7160,3,1,1,yes
380,97000,4000,3,2,2,yes
381,103500,9000,4,2,4,yes
382,112500,6550,3,1,2,yes
383,140000,13200,3,1,2,yes
384,74700,7085,3,1,1,yes
385,78000,6600,4,2,2,yes
386,78900,6900,3,1,1,yes
387,83900,11460,3,1,3,yes
388,85000,7020,3,1,1,yes
389,85000,6540,3,1,1,yes
390,86000,8000,3,1,1,yes
391,86900,9620,3,1,1,yes
392,94500,10500,3,2,1,yes
393,96000,5020,3,1,4,yes
394,106000,7440,3,2,4,yes
395,72000,6600,3,1,1,yes
396,74500,7200,3,1,2,yes
397,77000,6710,3,2,2,yes
398,80750,6660,4,2,2,yes
399,82900,7000,3,1,1,yes
400,85000,7231,3,1,2,yes
401,92500,7410,3,1,1,yes
402,76000,7800,3,1,1,yes
403,77500,6825,3,1,1,yes
404,80000,6360,3,1,3,yes
405,80000,6600,4,2,1,yes
406,86000,6900,3,2,1,yes
407,87000,6600,3,1,1,yes
408,87500,6420,3,1,3,yes
409,89000,6600,3,2,1,yes
410,89900,6600,3,2,3,yes
411,90000,9000,3,1,1,yes
412,95000,6500,3,2,3,yes
413,112000,6360,3,2,4,yes
414,31900,5300,3,1,1,no
415,52000,2850,3,2,2,no
416,90000,6400,3,1,1,yes
417,1.00E+05,11175,3,1,1,yes
418,91700,6750,2,1,1,yes
419,174500,7500,4,2,2,yes
420,94700,6000,3,1,2,yes
421,68000,10240,2,1,1,yes
422,80000,5136,3,1,2,yes
423,61100,3400,3,1,2,yes
424,62900,2880,3,1,2,yes
425,65500,3840,3,1,2,yes
426,66000,2870,2,1,2,yes
427,49500,5320,2,1,1,yes
428,50000,3512,2,1,1,yes
429,53500,3480,2,1,1,yes
430,58550,3600,3,1,1,yes
431,64500,3520,2,1,2,yes
432,65000,5320,3,1,2,yes
433,69000,6040,3,1,1,yes
434,73000,11410,2,1,2,yes
435,75000,8400,3,1,2,yes
436,75000,5300,4,2,1,yes
437,132000,7800,3,2,2,yes
438,60000,3520,3,1,2,yes
439,65000,5360,3,1,2,yes
440,69000,6862,3,1,2,yes
441,51900,3520,3,1,1,yes
442,57000,4050,2,1,2,yes
443,65000,3520,3,1,1,yes
444,79500,4400,4,1,2,yes
445,72500,5720,2,1,2,yes
446,104900,11440,4,1,2,yes
447,114900,7482,3,2,3,yes
448,120000,5500,4,2,2,yes
449,58000,4320,3,1,2,yes
450,67000,5400,2,1,2,yes
451,67000,4320,3,1,1,yes
452,69000,4815,2,1,1,yes
453,73000,6100,3,1,1,yes
454,73500,7980,3,1,1,yes
455,74900,6050,3,1,1,yes
456,75000,3800,3,1,2,yes
457,79500,5400,5,1,2,yes
458,120900,6000,3,2,4,yes
459,44555,2398,3,1,1,yes
460,47000,2145,3,1,2,yes
461,47600,2145,3,1,2,yes
462,49000,2145,3,1,3,yes
463,49000,2610,3,1,2,yes
464,49000,1950,3,2,2,yes
465,49500,2145,3,1,3,yes
466,52000,2275,3,1,3,yes
467,54000,2856,3,1,3,yes
468,55000,2015,3,1,2,yes
469,55000,2176,2,1,2,yes
470,56000,2145,4,2,1,yes
471,60000,2145,3,1,3,yes
472,60500,2787,3,1,1,yes
473,50000,9500,3,1,2,yes
474,64900,4990,4,2,2,yes
475,93000,6670,3,1,3,yes
476,85000,6254,4,2,1,yes
477,61500,10360,2,1,1,yes
478,88500,5500,3,2,1,yes
479,88000,5450,4,2,1,yes
480,89000,5500,3,1,3,yes
481,89500,6000,4,1,3,yes
482,95000,5700,3,1,1,yes
483,95500,6600,2,2,4,yes
484,51500,4000,2,1,1,yes
485,62900,4880,3,1,1,yes
486,118500,4880,4,2,2,yes
487,42900,8050,2,1,1,yes
488,44100,8100,2,1,1,yes
489,47000,5880,3,1,1,yes
490,50000,5880,2,1,1,yes
491,50000,12944,3,1,1,yes
492,53000,6020,3,1,1,yes
493,53000,4050,2,1,1,yes
494,54000,8400,2,1,1,yes
495,58500,5600,2,1,1,yes
496,59000,5985,3,1,1,yes
497,60000,4500,3,1,1,yes
498,62900,4920,3,1,2,yes
499,64000,8250,3,1,1,yes
500,65000,8400,4,1,4,yes
501,67900,6440,2,1,1,yes
502,68500,8100,4,1,4,yes
503,70000,6720,3,1,1,yes
504,70500,5948,3,1,2,yes
505,71500,8150,3,2,1,yes
506,71900,4800,2,1,1,yes
507,75000,9800,4,2,2,yes
508,75000,8520,3,1,1,yes
509,87000,8372,3,1,3,yes
510,64000,4040,3,1,2,yes
511,70000,4646,3,1,2,yes
512,47500,4775,4,1,2,yes
513,62600,4950,4,1,2,yes
514,66000,5010,3,1,2,yes
515,58900,6060,2,1,1,yes
516,53000,3584,2,1,1,yes
517,95000,6000,3,2,3,yes
518,96500,6000,4,2,4,yes
519,101000,6240,4,2,2,yes
520,102000,6000,3,2,2,yes
521,103000,7680,4,2,4,yes
522,105000,6000,4,2,4,yes
523,108000,6000,4,2,4,yes
524,110000,6000,4,2,4,yes
525,113000,6000,4,2,4,yes
526,120000,7475,3,2,4,yes
527,105000,5150,3,2,4,yes
528,106000,6325,3,1,4,yes
529,107500,6000,3,2,4,yes
530,108000,6000,3,2,3,yes
531,113750,6000,3,1,4,yes
532,120000,7000,3,1,4,yes
533,70000,12900,3,1,1,yes
534,71000,7686,3,1,1,yes
535,82000,5000,3,1,3,yes
536,82000,5800,3,2,4,yes
537,82500,6000,3,2,4,yes
538,83000,4800,3,1,3,yes
539,84000,6500,3,2,3,yes
540,85000,7320,4,2,2,yes
541,85000,6525,3,2,4,yes
542,91500,4800,3,2,4,yes
543,94000,6000,3,2,4,yes
544,103000,6000,3,2,4,yes
545,105000,6000,3,2,2,yes
546,105000,6000,3,1,2,yes
